2.447486780196940686e+02	3.200000000000000000e+01
2.447683653243030619e+02	3.102064067102483236e+01
2.447880542125363945e+02	3.004120256350170948e+01
2.448077446845214524e+02	2.906168567109371992e+01
2.448274367403856218e+02	1.895865164671181731e+02
2.448471303802563170e+02	1.903400686529863890e+02
2.448668256042609528e+02	1.910936814537333817e+02
2.448865224125269435e+02	1.918473548742344974e+02
2.449062208051817322e+02	1.926010889193661910e+02
2.449259207823527902e+02	1.933548835940060258e+02
2.449456223441675320e+02	4.356746299447892170e+02
2.449653254907534574e+02	7.308149264153893228e+02
2.449850302222380094e+02	8.837568795047734511e+02
2.450047365387487162e+02	1.045472768545075041e+03
2.450244444404130491e+02	1.048581577925617466e+03
2.450441539273585079e+02	1.051690637375239930e+03
2.450638649997126493e+02	1.054799946914063867e+03
2.450835776576029730e+02	1.393894929806414893e+03
2.451032919011570073e+02	1.577765569696931379e+03
2.451230077305023087e+02	2.213767412628211787e+03
2.451427251457664624e+02	2.273549971771302353e+03
2.451624441470770250e+02	2.217778429524284547e+03
2.451821647345615531e+02	2.162002401078044386e+03
2.452018869083476602e+02	2.106221886071652079e+03
2.452216106685629313e+02	2.384691748838546118e+03
2.452413360153349799e+02	2.304255616153559458e+03
2.452610629487914480e+02	2.456810488342277495e+03
2.452807914690599489e+02	2.413240082600950700e+03
2.453005215762681246e+02	2.369666172105868100e+03
2.453202532705436454e+02	2.326088756575069056e+03
2.453399865520141532e+02	2.325744296547165504e+03
2.453597214208073183e+02	2.335666012343421698e+03
2.453794578770508110e+02	2.425473251672394781e+03
2.453991959208723586e+02	2.655228128135068346e+03
2.454189355523996312e+02	2.665023172631081707e+03
2.454386767717603561e+02	2.668491664259777735e+03
2.454584195790822605e+02	2.668391336216969194e+03
2.454781639744930999e+02	2.668291000103887654e+03
2.454979099581205730e+02	2.668190655919884193e+03
2.455176575300924640e+02	2.747334806156010472e+03
2.455374066905365282e+02	2.773794153137679587e+03
2.455571574395805499e+02	2.800255628479064853e+03
2.455769097773522844e+02	2.826719232351327264e+03
2.455966637039795728e+02	2.853184964925742861e+03
2.456164192195901990e+02	2.879652826373517200e+03
